Reporting Year,Building ID,Building Status,Property Address Street*,Property Address City*,Property Address Postal Code*, Assessor Gross Floor Area* , Reported Gross Floor Area** ,Primary Property Type**,Energy Star Certification - Years Certified**,Energy Star Certification Recent**,Energy Star Score**,Site EUI**,Source EUI**,Weather Normalized Site EUI**,Weather Normalized Source EUI**,Total GHG Emissions**, Electricity Use Grid Purchase and Onsite (KWh)** , Electricity Use Grid Purchase (KWh)** , Natural Gas Use (kBtu)** , Natural Gas Use (therms)** ,District Chilled Water Use**,District Hot Water Use**,District Steam Use**,Indoor Water Use All Water Sources**,Indoor Water Intensity All Water Sources**,Outdoor Water Use All Water Sources**,Water Use**,Water Score**
2023,M10059,in compliance,1221 Brickell Ave,Miami,33131,"656,821","417,577",Office,"2022, 2021, 2020, 2018, 2017, 2016, 2015, 2014, 2013, 2012, 2011, 2009",2022,74,50.5,141.4,49.4,138.3,8624.6,"6,180,003","6,180,002", -   , -   ,0,0,0,9332.4,22.4,0,9332.4,0
2023,M10064,in compliance,1300 Brickell Bay Dr,Miami,33131,"750,122","750,122",Multifamily Housing,0,0,71,41.6,105.5,41.3,104.1,3201.5,"7,759,924","7,759,923","4,729,920","47,299",0,0,0,0,0,0,20495.9,38
2023,M10067,in compliance,1311 Nw 10 Ave,Miami,33136,"152,410","152,410",Hotel,0,0,82,60,140.7,59.7,139,878.7,"1,984,270","1,984,270","2,371,321","23,713",0,0,0,3580.2,23.5,0,3580.2,0
2023,M10069,in compliance,1331 Brickell Bay Dr,Miami,33131,"3,238,436","793,758",Multifamily Housing,0,0,59,40.8,109.7,40.4,108.3,3481.7,"8,895,399","8,895,398","2,020,358","20,204",0,0,0,0,0,0,20839.5,12
2023,M10081,in compliance,1401 Brickell Ave,Miami,33131,"236,877","236,877",Office,0,0,53,65.8,184.1,65.8,184.1,1735.9,"4,565,073","4,565,073","6,053",61,0,0,0,0,0,6585.4,6585.4,0
2023,M10089,in compliance,1415 Nw 15 Ave,Miami,33125,"214,935","115,670",Other - Lodging/Residential,0,0,0,48.7,136.4,47.5,133.1,627.9,"1,651,580","1,651,580", -   , -   ,0,0,0,0,0,0,5841.9,0
2023,M10096,in compliance,1444 Nw 14 Ave,Miami,33125,"377,438","301,562",Multifamily Housing,0,0,99,24.9,69.8,24.6,68.9,837.3,"2,202,375","2,202,375", -   , -   ,0,0,0,0,0,0,8029.2,79
2023,M10098,in compliance,1450 Brickell Bay Dr,Miami,33131,"403,585","216,950",Multifamily Housing,0,0,29,53.7,147.9,52.8,144.8,1280.1,"3,322,490","3,322,490","319,058","3,191",0,0,0,0,0,0,8328,39
2023,M10102,in compliance,150 Ne 79 St,Miami,33138,"251,004","132,426",Multifamily Housing,0,0,40,58.9,164.9,58.4,163.6,869.3,"2,286,419","2,286,419", -   , -   ,0,0,0,0,0,0,9974.8,36
2023,M10113,in compliance,1581 Brickell Ave,Miami,33129,"1,599,938","430,407",Multifamily Housing,0,0,46,46.9,126.1,46.2,124,2170.3,"5,544,211","5,544,211","1,264,865","12,649",0,0,0,0,0,0,3161.2,99
2023,M10117,in compliance,1627 Brickell Ave,Miami,33129,"633,777","516,096",Multifamily Housing,0,0,78,27.9,78.1,27.5,76.9,1604.4,"4,220,002","4,220,002", -   , -   ,0,0,0,0,0,0,14830.2,1
2023,M10119,in compliance,1629 Nw 14 St,Miami,33125,"105,005","108,887",Multifamily Housing,0,0,84,41.7,116.5,0,0,504,"1,326,932","1,326,932", -   , -   ,0,0,0,0,0,0,8121.5,26
2023,M10129,in compliance,1723 Sw 2 Ave,Miami,33129,"210,392","86,855",Multifamily Housing,0,0,65,47.7,133.5,47.2,132.2,461.5,"1,213,846","1,213,846", -   , -   ,0,0,0,0,0,0,4167.1,51
2023,M10130,in compliance,1749 Ne Miami Ct,Miami,33132,"299,736","139,800",Multifamily Housing,0,0,86,31.1,87.2,30.4,85.1,484,"1,275,828","1,275,828", -   , -   ,0,0,0,0,0,0,3154.3,7
2023,M10136,in compliance,1750 Sw 1 Ave,Miami,33129,"115,340","115,340",Hotel,0,0,93,45.2,109.6,44.8,108.4,515.7,"1,200,146","1,200,146","1,118,579","11,186",0,0,0,0,0,0,3008.9,0
2023,M10137,in compliance,1756 N Bayshore Dr,Miami,33132,"737,810","450,179",Multifamily Housing,0,0,48,49.3,133.9,49.1,132.8,2411.4,"6,191,443","6,191,442","1,080,915","10,809",0,0,0,0,0,0,26222.3,15
2023,M10144,in compliance,1800 Sw 1 Ave,Miami,33129,"450,342","233,088",Other - Lodging/Residential,0,0,0,34.5,96.6,34.5,96.6,895.6,"2,355,647","2,355,647", -   , -   ,0,0,0,0,0,0,11348.7,0
2023,M10159,in compliance,1915 Brickell Ave,Miami,33129,"1,192,145","811,625",Multifamily Housing,0,0,94,31.2,84.5,30.5,82.4,2744.9,"7,045,282","7,045,281","1,247,619","12,476",0,0,0,34149.2,42.1,0,34149.2,24
2023,M10161,in compliance,1951 Nw 7 Ave,Miami,33136,"291,755","267,298",Medical Office,0,0,51,153.7,423.3,153.7,423.3,4515.3,"11,728,730","11,728,731","1,055,441","10,554",0,0,0,17357.5,64.9,0,17357.5,0
2023,M10164,in compliance,200 S Biscayne Blvd,Miami,33131,"2,039,308","1,358,268",Financial Office,"2022, 2021, 2020, 2019, 2018, 2017, 2016, 2015, 2014, 2013, 2011, 2010, 2009, 2008, 2007, 2006, 2005, 2004, 2003",2022,75,44.5,124.7,43.8,122.6,6742.5,"17,734,170","17,734,168", -   , -   ,0,0,0,16164.5,11.9,744.1,16908.6,0
2023,M10166,in compliance,200 Se 2 Ave,Miami,33131,"290,745","290,745",Hotel,0,0,86,39,90.3,38.3,88.5,1080.4,"2,406,288","2,406,287","3,115,921","31,159",0,0,0,0,0,0,11983.2,0
2023,M10170,in compliance,2020 N Bayshore Dr,Miami,33137,"3,714,957","1,024,305",Multifamily Housing,0,0,89,38.2,94.5,38,93.6,3933.8,"9,339,222","9,339,220","7,212,743","72,127",0,0,0,0,0,0,20158.5,94
2023,M10178,in compliance,2101 Brickell Ave,Miami,33129,"635,950","600,000",Multifamily Housing,0,0,88,31,86.8,30.6,85.7,2073.5,"5,453,869","5,453,868", -   , -   ,0,0,0,0,0,0,450.3,100
2023,M10180,in compliance,2121 N Bayshore Dr,Miami,33137,"373,660","248,557",Multifamily Housing,0,0,87,42.1,105.3,42.1,104.8,1062.1,"2,546,321","2,546,321","1,769,286","17,693",0,0,0,0,0,0,10.6,100
2023,M10182,in compliance,2127 Brickell Ave,Miami,33129,"772,622","455,524",Multifamily Housing,0,0,77,43.3,121.2,43.3,121.2,2192,"5,778,440","5,778,439", -   , -   ,0,0,0,0,0,0,10686.7,94
